사용일자,new_승차수,new_하차수,합,승차비율,하차비율
2022-10-31 05:00:00,65,44,109,5.963302752293578,4.036697247706422
2022-10-31 06:00:00,157,510,667,2.353823088455772,7.646176911544227
2022-10-31 07:00:00,459,612,1071,4.285714285714286,5.714285714285714
2022-10-31 08:00:00,636,843,1479,4.300202839756592,5.699797160243407
2022-10-31 09:00:00,580,944,1524,3.805774278215223,6.194225721784776
2022-10-31 10:00:00,514,1025,1539,3.339831059129305,6.660168940870695
2022-10-31 11:00:00,585,1068,1653,3.539019963702359,6.460980036297641
2022-10-31 12:00:00,670,1103,1773,3.7789058093626617,6.221094190637338
2022-10-31 13:00:00,743,1145,1888,3.9353813559322033,6.064618644067796
2022-10-31 14:00:00,836,1203,2039,4.1000490436488475,5.8999509563511525
2022-10-31 15:00:00,984,1240,2224,4.424460431654676,5.575539568345324
2022-10-31 16:00:00,1071,1334,2405,4.453222453222454,5.546777546777546
2022-10-31 17:00:00,1191,1385,2576,4.623447204968944,5.376552795031055
2022-10-31 18:00:00,1128,1547,2675,4.216822429906542,5.783177570093458
2022-10-31 19:00:00,982,1021,2003,4.902646030953569,5.09735396904643
2022-10-31 20:00:00,927,693,1620,5.722222222222222,4.277777777777778
2022-10-31 21:00:00,727,609,1336,5.4416167664670665,4.558383233532934
2022-10-31 22:00:00,580,577,1157,5.012964563526361,4.987035436473638
2022-10-31 23:00:00,214,265,479,4.467640918580376,5.532359081419624
2022-11-01 00:00:00,21,38,59,3.559322033898305,6.440677966101695
