사용일자,new_승차수,new_하차수,합,승차비율,하차비율
2022-10-31 05:00:00,595,74,669,8.89387144992526,1.1061285500747384
2022-10-31 06:00:00,874,462,1336,6.541916167664671,3.4580838323353293
2022-10-31 07:00:00,2180,1383,3563,6.118439517260735,3.8815604827392645
2022-10-31 08:00:00,3129,2435,5564,5.623652048885694,4.376347951114306
2022-10-31 09:00:00,1812,1427,3239,5.594319234331584,4.405680765668416
2022-10-31 10:00:00,1196,936,2132,5.609756097560976,4.390243902439025
2022-10-31 11:00:00,1149,958,2107,5.453251067869008,4.546748932130992
2022-10-31 12:00:00,1312,1166,2478,5.294592413236481,4.705407586763519
2022-10-31 13:00:00,1446,1286,2732,5.292825768667643,4.707174231332357
2022-10-31 14:00:00,1251,1158,2409,5.193026151930261,4.806973848069738
2022-10-31 15:00:00,1265,1318,2583,4.897406116918312,5.1025938830816875
2022-10-31 16:00:00,1411,1632,3043,4.636871508379888,5.363128491620111
2022-10-31 17:00:00,1751,2193,3944,4.439655172413794,5.560344827586207
2022-10-31 18:00:00,2032,3253,5285,3.8448438978240302,6.15515610217597
2022-10-31 19:00:00,1155,2069,3224,3.5825062034739457,6.417493796526055
2022-10-31 20:00:00,1229,1458,2687,4.573874209155192,5.426125790844808
2022-10-31 21:00:00,1428,1382,2810,5.081850533807829,4.918149466192171
2022-10-31 22:00:00,1507,1289,2796,5.389842632331902,4.610157367668097
2022-10-31 23:00:00,501,813,1314,3.8127853881278537,6.187214611872146
2022-11-01 00:00:00,42,165,207,2.028985507246377,7.971014492753623
