사용일자,new_승차수,new_하차수,합,승차비율,하차비율
2022-10-31 05:00:00,315,58,373,8.445040214477212,1.5549597855227884
2022-10-31 06:00:00,627,253,880,7.125,2.875
2022-10-31 07:00:00,1799,559,2358,7.629346904156064,2.3706530958439354
2022-10-31 08:00:00,2206,1566,3772,5.848356309650053,4.151643690349947
2022-10-31 09:00:00,1328,860,2188,6.069469835466179,3.9305301645338204
2022-10-31 10:00:00,986,632,1618,6.093943139678615,3.9060568603213843
2022-10-31 11:00:00,974,681,1655,5.885196374622357,4.114803625377643
2022-10-31 12:00:00,1036,750,1786,5.800671892497201,4.1993281075028
2022-10-31 13:00:00,994,844,1838,5.408052230685527,4.591947769314472
2022-10-31 14:00:00,931,870,1801,5.169350360910605,4.830649639089395
2022-10-31 15:00:00,929,986,1915,4.851174934725848,5.148825065274152
2022-10-31 16:00:00,1043,1157,2200,4.740909090909091,5.259090909090909
2022-10-31 17:00:00,1274,1734,3008,4.235372340425532,5.764627659574468
2022-10-31 18:00:00,1662,2451,4113,4.040846097738877,5.959153902261123
2022-10-31 19:00:00,879,1898,2777,3.1652862801584445,6.834713719841556
2022-10-31 20:00:00,745,1250,1995,3.7343358395989976,6.265664160401003
2022-10-31 21:00:00,710,1227,1937,3.6654620547238,6.3345379452762005
2022-10-31 22:00:00,618,1169,1787,3.458310016787913,6.541689983212088
2022-10-31 23:00:00,280,772,1052,2.661596958174905,7.338403041825095
2022-11-01 00:00:00,46,177,223,2.0627802690582957,7.937219730941703
