사용일자,new_승차수,new_하차수,합,승차비율,하차비율
2022-10-31 05:00:00,159,39,198,8.03030303030303,1.9696969696969697
2022-10-31 06:00:00,384,284,668,5.748502994011976,4.251497005988024
2022-10-31 07:00:00,1106,655,1761,6.280522430437252,3.7194775695627484
2022-10-31 08:00:00,1133,1765,2898,3.909592822636301,6.090407177363699
2022-10-31 09:00:00,582,791,1373,4.238892935178441,5.761107064821558
2022-10-31 10:00:00,453,523,976,4.6413934426229515,5.358606557377049
2022-10-31 11:00:00,481,479,960,5.010416666666667,4.989583333333333
2022-10-31 12:00:00,548,474,1022,5.362035225048923,4.637964774951076
2022-10-31 13:00:00,577,548,1125,5.128888888888889,4.871111111111111
2022-10-31 14:00:00,591,542,1133,5.216240070609003,4.783759929390998
2022-10-31 15:00:00,681,562,1243,5.478680611423974,4.521319388576026
2022-10-31 16:00:00,796,641,1437,5.539318023660404,4.460681976339597
2022-10-31 17:00:00,1311,953,2264,5.790636042402827,4.209363957597173
2022-10-31 18:00:00,1542,1349,2891,5.333794534763057,4.666205465236942
2022-10-31 19:00:00,717,1149,1866,3.842443729903537,6.157556270096463
2022-10-31 20:00:00,606,658,1264,4.794303797468354,5.205696202531645
2022-10-31 21:00:00,581,591,1172,4.9573378839590445,5.0426621160409555
2022-10-31 22:00:00,506,567,1073,4.715750232991613,5.284249767008387
2022-10-31 23:00:00,242,369,611,3.9607201309328968,6.039279869067103
2022-11-01 00:00:00,27,128,155,1.7419354838709677,8.258064516129032
