사용일자,new_승차수,new_하차수,합,승차비율,하차비율
2022-10-31 05:00:00,164,46,210,7.809523809523809,2.1904761904761907
2022-10-31 06:00:00,444,468,912,4.868421052631579,5.131578947368421
2022-10-31 07:00:00,1068,1305,2373,4.50063211125158,5.499367888748419
2022-10-31 08:00:00,1486,2822,4308,3.4493964716805943,6.550603528319406
2022-10-31 09:00:00,1053,3079,4132,2.548402710551791,7.451597289448209
2022-10-31 10:00:00,958,1752,2710,3.5350553505535056,6.464944649446495
2022-10-31 11:00:00,1094,1418,2512,4.355095541401274,5.6449044585987265
2022-10-31 12:00:00,1287,1419,2706,4.7560975609756095,5.24390243902439
2022-10-31 13:00:00,1446,1540,2986,4.842598794373743,5.157401205626256
2022-10-31 14:00:00,1528,1497,3025,5.051239669421488,4.948760330578512
2022-10-31 15:00:00,1752,1428,3180,5.509433962264151,4.490566037735849
2022-10-31 16:00:00,2088,1735,3823,5.461679309442846,4.538320690557154
2022-10-31 17:00:00,2721,2214,4935,5.513677811550152,4.486322188449848
2022-10-31 18:00:00,3423,3164,6587,5.196599362380446,4.8034006376195535
2022-10-31 19:00:00,2433,1834,4267,5.701898289196157,4.298101710803843
2022-10-31 20:00:00,1908,1087,2995,6.370617696160267,3.629382303839733
2022-10-31 21:00:00,2034,981,3015,6.746268656716418,3.253731343283582
2022-10-31 22:00:00,1870,869,2739,6.827309236947792,3.172690763052209
2022-10-31 23:00:00,1001,500,1501,6.668887408394404,3.3311125916055966
2022-11-01 00:00:00,149,96,245,6.081632653061225,3.9183673469387754
