사용일자,new_승차수,new_하차수,합,승차비율,하차비율
2022-10-31 05:00:00,173,47,220,7.863636363636363,2.1363636363636362
2022-10-31 06:00:00,398,253,651,6.1136712749615985,3.886328725038403
2022-10-31 07:00:00,1160,407,1567,7.402680280791322,2.597319719208679
2022-10-31 08:00:00,1212,1493,2705,4.480591497227357,5.519408502772643
2022-10-31 09:00:00,581,658,1239,4.6892655367231635,5.310734463276836
2022-10-31 10:00:00,495,366,861,5.7491289198606275,4.250871080139373
2022-10-31 11:00:00,482,335,817,5.899632802937576,4.100367197062424
2022-10-31 12:00:00,533,376,909,5.863586358635863,4.136413641364136
2022-10-31 13:00:00,502,390,892,5.62780269058296,4.37219730941704
2022-10-31 14:00:00,476,421,897,5.306577480490524,4.693422519509476
2022-10-31 15:00:00,519,428,947,5.4804646251319955,4.5195353748680045
2022-10-31 16:00:00,615,499,1114,5.52064631956912,4.479353680430879
2022-10-31 17:00:00,825,718,1543,5.346727154893065,4.653272845106934
2022-10-31 18:00:00,1220,1048,2268,5.379188712522046,4.620811287477954
2022-10-31 19:00:00,418,1004,1422,2.939521800281294,7.060478199718706
2022-10-31 20:00:00,286,646,932,3.0686695278969958,6.931330472103004
2022-10-31 21:00:00,263,559,822,3.199513381995134,6.800486618004866
2022-10-31 22:00:00,179,563,742,2.412398921832884,7.587601078167116
2022-10-31 23:00:00,75,382,457,1.6411378555798686,8.358862144420131
2022-11-01 00:00:00,13,114,127,1.0236220472440944,8.976377952755906
