사용일자,new_승차수,new_하차수,합,승차비율,하차비율
2022-10-31 05:00:00,119,98,217,5.483870967741936,4.516129032258065
2022-10-31 06:00:00,177,965,1142,1.5499124343257442,8.450087565674256
2022-10-31 07:00:00,358,5084,5442,0.6578463800073502,9.342153619992649
2022-10-31 08:00:00,432,6725,7157,0.6036048623725024,9.396395137627497
2022-10-31 09:00:00,447,2927,3374,1.3248369887374039,8.675163011262597
2022-10-31 10:00:00,575,1318,1893,3.0375066032752245,6.962493396724775
2022-10-31 11:00:00,799,1326,2125,3.76,6.24
2022-10-31 12:00:00,851,1281,2132,3.9915572232645404,6.00844277673546
2022-10-31 13:00:00,1084,1388,2472,4.385113268608414,5.614886731391586
2022-10-31 14:00:00,1247,1235,2482,5.024174053182917,4.975825946817083
2022-10-31 15:00:00,1559,1185,2744,5.681486880466473,4.318513119533528
2022-10-31 16:00:00,2211,1177,3388,6.525974025974025,3.474025974025974
2022-10-31 17:00:00,5432,1340,6772,8.021264028352038,1.978735971647962
2022-10-31 18:00:00,5775,1483,7258,7.956737393221274,2.043262606778727
2022-10-31 19:00:00,2758,821,3579,7.706063146130204,2.293936853869796
2022-10-31 20:00:00,2505,414,2919,8.581706063720453,1.418293936279548
2022-10-31 21:00:00,2191,350,2541,8.622589531680442,1.3774104683195592
2022-10-31 22:00:00,1249,302,1551,8.052869116698904,1.947130883301096
2022-10-31 23:00:00,410,175,585,7.0085470085470085,2.9914529914529915
2022-11-01 00:00:00,50,83,133,3.7593984962406015,6.2406015037593985
