사용일자,new_승차수,new_하차수,합,승차비율,하차비율
2022-10-31 05:00:00,456,26,482,9.46058091286307,0.5394190871369294
2022-10-31 06:00:00,1063,187,1250,8.504,1.496
2022-10-31 07:00:00,2897,327,3224,8.98573200992556,1.0142679900744418
2022-10-31 08:00:00,3175,798,3973,7.9914422350868355,2.0085577649131636
2022-10-31 09:00:00,1795,459,2254,7.963620230700976,2.0363797692990238
2022-10-31 10:00:00,1134,407,1541,7.3588578844905905,2.6411421155094095
2022-10-31 11:00:00,985,442,1427,6.902592852137352,3.0974071478626493
2022-10-31 12:00:00,1000,552,1552,6.443298969072165,3.5567010309278353
2022-10-31 13:00:00,873,633,1506,5.796812749003984,4.203187250996016
2022-10-31 14:00:00,753,691,1444,5.214681440443213,4.785318559556787
2022-10-31 15:00:00,719,894,1613,4.457532548047117,5.5424674519528825
2022-10-31 16:00:00,771,1157,1928,3.9989626556016593,6.00103734439834
2022-10-31 17:00:00,887,1658,2545,3.4852652259332024,6.514734774066798
2022-10-31 18:00:00,942,2702,3644,2.5850713501646543,7.414928649835346
2022-10-31 19:00:00,502,2336,2838,1.7688513037350246,8.231148696264976
2022-10-31 20:00:00,385,1513,1898,2.0284510010537407,7.9715489989462585
2022-10-31 21:00:00,334,1323,1657,2.015691007845504,7.984308992154497
2022-10-31 22:00:00,251,1278,1529,1.6415958142576847,8.358404185742314
2022-10-31 23:00:00,103,848,951,1.0830704521556258,8.916929547844376
2022-11-01 00:00:00,15,192,207,0.7246376811594203,9.27536231884058
