사용일자,new_승차수,new_하차수,합,승차비율,하차비율
2022-10-31 05:00:00,137,53,190,7.2105263157894735,2.789473684210526
2022-10-31 06:00:00,231,269,500,4.62,5.38
2022-10-31 07:00:00,635,497,1132,5.609540636042403,4.390459363957597
2022-10-31 08:00:00,817,1083,1900,4.3,5.7
2022-10-31 09:00:00,575,703,1278,4.499217527386541,5.500782472613459
2022-10-31 10:00:00,509,686,1195,4.2594142259414225,5.7405857740585775
2022-10-31 11:00:00,538,532,1070,5.02803738317757,4.97196261682243
2022-10-31 12:00:00,604,577,1181,5.114309906858595,4.885690093141406
2022-10-31 13:00:00,606,600,1206,5.024875621890548,4.975124378109453
2022-10-31 14:00:00,648,558,1206,5.373134328358209,4.6268656716417915
2022-10-31 15:00:00,764,537,1301,5.872405841660262,4.127594158339739
2022-10-31 16:00:00,879,657,1536,5.72265625,4.27734375
2022-10-31 17:00:00,1034,800,1834,5.637949836423119,4.362050163576881
2022-10-31 18:00:00,841,1200,2041,4.120529152376286,5.879470847623714
2022-10-31 19:00:00,464,744,1208,3.8410596026490067,6.158940397350993
2022-10-31 20:00:00,447,538,985,4.538071065989848,5.461928934010152
2022-10-31 21:00:00,435,444,879,4.948805460750853,5.051194539249146
2022-10-31 22:00:00,381,422,803,4.744707347447074,5.255292652552927
2022-10-31 23:00:00,197,285,482,4.087136929460581,5.9128630705394185
2022-11-01 00:00:00,36,68,104,3.4615384615384612,6.538461538461538
